3,1,1,1
4,1,1,1
5,2,2,2
6,2,2,3
7,1,1,1
8,1,1,1
9,2,2,3
10,2,2,3
11,2,2,3
12,1,1,1
13,2,2,5
14,2,2,3
15,2,2,3
16,2,2,5
17,2,2,5
18,2,2,4
19,2,2,7
20,2,2,6
21,2,2,5
22,2,2,9
23,2,2,3
24,2,2,6
25,2,2,9
26,2,2,7
27,2,2,6
28,2,2,10
29,2,2,5
30,2,2,7
31,2,2,9
32,2,2,7
33,2,2,10
34,2,3,10
35,2,3,12
36,2,2,9
37,2,3,11
38,2,2,10
39,3,3,10
40,2,2,12
41,2,2,9
42,3,3,13
43,2,2,10
44,2,2,14
45,3,3,11
46,2,2,11
47,2,3,12
48,2,2,13
49,2,3,10
50,2,2,11
51,2,3,12
52,3,3,13
53,3,3,16
54,2,2,15
55,3,3,17
56,2,3,15
57,3,3,16
58,3,3,14
59,3,3,19
60,3,3,17
61,3,3,16
62,3,3,18
63,3,3,14
64,3,3,16
65,3,3,18
66,3,3,15
67,2,3,17
68,3,3,17
69,3,3,18
70,2,2,18
71,3,3,20
72,3,3,24
73,3,3,20
74,3,3,17
75,2,2,21
76,3,3,19
77,3,3,23
78,3,3,22
79,3,3,21
80,3,3,22
81,3,3,21
82,3,3,24
83,3,3,22
84,3,3,20
85,3,3,24
86,3,3,26
87,3,3,18
88,3,3,21
89,3,3,24
90,3,3,22
91,3,3,23
92,3,3,24
93,3,3,24
94,3,3,25
95,3,3,26
96,3,3,28
97,3,3,25
98,3,3,32
99,3,3,24
100,3,3,23
101,3,3,27
102,3,3,26
103,3,3,27
104,3,3,23
105,3,3,28
106,3,3,25
107,3,3,32
108,3,3,30
109,3,3,27
110,3,3,32
111,3,3,31
112,3,3,31
113,3,3,30
114,3,3,31
115,3,3,32
116,3,3,33
117,3,3,31
118,3,3,31
119,3,3,34
120,3,3,36
121,3,3,36
122,3,3,33
123,3,3,32
124,3,3,32
125,3,3,27
126,3,3,32
127,3,3,36
128,3,3,38
129,3,3,39
130,3,3,36
131,3,3,33
132,3,3,38
133,3,3,34
134,3,3,44
135,3,3,47
136,3,3,39
137,3,3,35
138,3,4,38
139,3,3,39
140,3,3,33
141,3,3,37
142,3,3,40
143,3,4,43
144,3,3,43
145,3,3,41
146,3,3,38
147,3,4,40
148,3,3,37
149,3,3,34
150,3,3,39
151,3,4,37
152,3,3,48
153,3,4,43
154,3,3,40
155,3,4,44
156,3,4,41
157,3,4,46
158,3,3,44
159,3,3,40
160,3,3,42
161,3,3,45
162,3,4,41
163,3,3,41
164,3,3,47
165,3,4,48
166,3,4,49
167,3,3,44
168,3,4,48
169,3,4,41
170,3,3,44
171,3,4,49
172,3,3,45
173,3,4,39
174,3,3,49
175,3,4,42
176,3,4,51
177,3,3,42
178,3,3,52
179,3,3,42
180,3,4,46
181,3,4,54
182,3,3,55
183,3,4,53
184,3,4,56
185,3,4,48
186,3,4,48
187,4,4,51
188,3,4,50
189,3,4,57
190,3,4,57
191,4,4,53
192,3,3,57
193,4,4,53
194,3,4,58
195,3,4,58
196,3,3,49
197,3,4,53
198,3,3,53
199,3,4,58
