3,1,1,1,1
4,2,2,2,2
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,1
10,2,2,4,2
11,1,1,1,1
12,2,2,3,2
13,2,2,3,2
14,2,2,5,2
15,2,2,3,2
16,2,2,4,2
17,2,2,5,2
18,1,1,1,1
19,2,2,7,3
20,2,2,6,2
21,2,2,3,2
22,2,2,8,2
23,2,2,3,2
24,2,2,4,2
25,2,2,6,2
26,2,2,8,3
27,2,2,7,3
28,2,2,10,3
29,2,2,7,2
30,2,2,8,3
31,2,2,7,2
32,2,2,11,2
33,2,2,10,2
34,2,2,11,3
35,2,2,12,2
36,2,2,7,2
37,2,2,9,3
38,2,2,10,3
39,2,2,12,3
40,2,2,12,2
41,2,3,11,3
42,2,2,10,3
43,3,3,13,4
44,2,2,11,2
45,3,3,11,3
46,2,2,11,2
47,3,3,10,3
48,2,2,12,2
49,2,3,14,3
50,3,3,14,3
51,2,2,12,2
52,2,3,13,3
53,3,3,14,3
54,3,3,15,3
55,2,2,12,3
56,3,3,16,3
57,3,3,19,4
58,3,3,13,3
59,3,3,20,4
60,2,2,14,3
61,2,2,15,3
62,3,3,16,3
63,2,2,19,3
64,3,3,19,3
65,3,3,15,3
66,3,3,17,4
67,3,3,18,4
68,3,3,20,3
69,3,3,18,3
70,3,3,19,3
71,3,3,15,3
72,3,3,21,3
73,3,3,21,4
74,3,3,19,3
75,3,3,24,4
76,3,3,20,3
77,3,3,19,3
78,3,3,24,3
79,3,3,26,4
80,3,3,25,3
81,3,3,19,4
82,3,3,22,4
83,3,3,20,3
84,3,3,25,3
85,3,3,21,4
86,3,3,22,4
87,3,3,20,3
88,3,3,22,3
89,3,3,25,3
90,3,3,23,3
91,3,3,25,5
92,3,3,23,3
93,3,3,31,4
94,3,3,23,3
95,3,3,30,4
96,3,3,21,3
97,3,3,26,4
98,3,3,30,5
99,3,3,27,3
100,3,3,29,4
101,3,3,23,4
102,3,3,33,4
103,3,3,33,4
104,3,3,31,4
105,3,3,30,4
106,3,3,31,5
107,3,3,32,4
108,3,3,33,4
109,3,3,29,4
110,3,3,33,4
111,3,3,31,4
112,3,3,34,5
113,3,3,30,4
114,3,3,29,4
115,3,3,34,3
116,3,3,27,4
117,3,3,32,4
118,3,3,30,4
119,3,3,30,5
120,3,3,32,4
121,3,3,35,4
122,3,3,36,5
123,3,3,32,3
124,3,3,35,5
125,3,3,32,4
126,3,4,34,4
127,3,3,34,4
128,3,3,35,5
129,3,3,31,4
130,3,3,35,4
131,3,3,32,5
132,3,4,35,4
133,3,4,40,4
134,3,3,36,4
135,3,3,40,4
136,3,3,35,5
137,3,3,37,4
138,3,3,36,4
139,3,4,33,3
140,3,3,37,4
141,3,3,39,5
142,3,3,40,4
143,3,3,38,4
144,3,3,40,4
145,3,3,44,5
146,3,3,43,4
147,3,3,42,4
148,3,3,37,4
149,3,3,48,4
150,3,4,43,4
151,3,4,44,4
152,3,4,45,5
153,3,4,45,5
154,3,3,45,5
155,3,3,42,4
156,3,3,38,5
157,3,4,43,4
158,3,3,39,4
159,3,3,48,4
160,3,4,47,4
161,3,4,42,4
162,3,4,39,5
163,3,3,47,4
164,3,3,46,4
165,3,4,43,4
166,3,3,44,5
167,3,3,40,4
168,3,4,44,5
169,3,3,45,4
170,3,3,47,4
171,3,3,44,5
172,3,4,53,4
173,3,4,51,4
174,3,3,44,5
175,3,3,48,5
176,3,3,42,5
177,3,3,50,4
178,3,3,51,4
179,3,3,46,4
180,3,4,52,5
181,3,3,48,5
182,3,4,47,5
183,3,4,48,4
184,3,3,50,4
185,3,3,53,4
186,3,4,46,5
187,3,4,44,5
188,3,3,48,3
189,3,4,50,4
190,3,4,55,5
191,3,4,58,5
192,3,4,54,5
193,3,4,56,4
194,3,4,54,5
195,3,4,47,5
196,3,4,58,5
197,3,3,53,5
198,3,3,58,6
199,3,4,59,4
